document_id,course_id,course_docs,course_views_30d,institution_id,country,views_past29days,views_h_m24,views_h_m22,views_h_m20,views_h_m18,views_h_m16,views_h_m14,views_h_m12,views_h_m10,views_h_m08,views_h_m06,views_h_m04,views_h_m02,views_d_01
9903925,4527748,212,4045,327,US,43,0,0,0,0,0,0,0,1,0,0,0,0,0
12306512,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13044856,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13044864,4527748,212,4045,327,US,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13044871,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14676433,4527748,212,4045,327,US,19,0,0,0,0,0,0,0,0,0,0,0,0,0
17138545,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17451461,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17451774,4527748,212,4045,327,US,6,0,0,0,0,0,0,0,0,0,0,0,0,0
17451876,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17720008,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17720010,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17855865,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17961267,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17961276,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18605702,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18605719,4527748,212,4045,327,US,19,0,0,0,0,0,0,0,0,0,0,0,0,0
18606026,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18606027,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19688902,4527748,212,4045,327,US,21,0,0,0,0,0,0,0,0,0,0,0,0,0
19725201,4527748,212,4045,327,US,8,0,0,0,0,0,0,0,0,0,0,0,0,0
19725216,4527748,212,4045,327,US,24,0,0,0,0,0,0,0,0,0,0,0,0,0
20790140,4527748,212,4045,327,US,71,1,0,0,0,0,0,0,0,0,0,0,0,0
20790184,4527748,212,4045,327,US,61,0,0,0,0,0,1,0,1,0,0,0,0,3
20790185,4527748,212,4045,327,US,111,0,1,0,0,3,2,1,1,0,0,0,0,4
20790187,4527748,212,4045,327,US,164,1,0,0,0,1,1,2,1,0,0,0,0,4
20790189,4527748,212,4045,327,US,120,0,0,0,0,0,0,0,0,0,0,0,0,0
20790192,4527748,212,4045,327,US,197,1,0,0,0,0,0,0,0,0,0,0,0,1
20790232,4527748,212,4045,327,US,22,0,0,0,0,0,0,0,0,0,0,0,0,0
20790233,4527748,212,4045,327,US,151,0,0,0,0,0,0,0,0,0,0,0,1,0
20790234,4527748,212,4045,327,US,214,2,1,0,0,0,0,0,1,0,0,0,0,0
20790235,4527748,212,4045,327,US,126,0,0,0,0,0,0,0,0,0,0,0,0,0
